task_id,source_system,department,asset_id,asset_type,corridor_id,section_id,start_km,end_km,defect_type,defect_severity,safety_criticality,failure_probability,asset_importance,operational_impact,detection_date,due_date,overdue_days,estimated_duration_minutes,minimum_block_minutes,disconnection_type,required_team,required_personnel,required_equipment,preferred_start_time,preferred_end_time,dependency_task_ids,compatible_task_ids,weather_sensitive,status,priority_score,priority_level,synthetic_data,priority_breakdown,priority_explanation
TASK-0039,TDMS,Traction Distribution,ASSET-SEC-03-0039,Feeder,COR-01,SEC-03,41.44,44.37,OHE alignment deviation,2,4,0.446,2,1,2026-06-18,2026-07-09,50,45,90,Power,TRD-Team-02,3,Tower Wagon|Insulation Tester,10:30:00,13:30:00,,TASK-0095|TASK-0145,False,Pending,55.14,Medium,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 16.0, ""failure_probability"": 7.14, ""defect_severity"": 3.5, ""operational_impact"": 0.0, ""asset_importance"": 2.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0039 received a priority score of 55.1/100 (Medium) because it has high safety criticality, it is 50 days overdue, and it can potentially be bundled with 2 cross-department tasks."
TASK-0040,TMS,Engineering,ASSET-SEC-07-0040,Rail,COR-03,SEC-07,9.59,11.41,Rail surface defect,2,2,0.463,4,4,2026-06-01,2026-06-07,82,120,135,Track Possession,ENG-Team-02,10,Inspection Trolley|Tamping Machine,01:00:00,05:00:00,,TASK-0012|TASK-0071|TASK-0120,False,Pending,59.41,Medium,True,"{""safety_criticality"": 5.5, ""deadline_urgency"": 16.0, ""failure_probability"": 7.41, ""defect_severity"": 3.5, ""operational_impact"": 9.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 6.0, ""resource_readiness"": 6.0}","TASK-0040 received a priority score of 59.4/100 (Medium) because it is 82 days overdue, it can materially affect railway operations, and it can potentially be bundled with 3 cross-department tasks."
TASK-0041,SMMS,Signal & Telecommunication,ASSET-SEC-10-0041,Track Circuit,COR-04,SEC-10,0.84,3.73,Track circuit instability,2,2,0.326,1,4,2026-08-15,2026-10-05,0,30,45,Signalling,SNT-Team-03,5,Cable Fault Locator,01:00:00,05:00:00,,TASK-0018|TASK-0166,False,Pending,35.62,Low,True,"{""safety_criticality"": 5.5, ""deadline_urgency"": 2.4, ""failure_probability"": 5.22, ""defect_severity"": 3.5, ""operational_impact"": 9.0, ""asset_importance"": 0.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0041 received a priority score of 35.6/100 (Low) because it can materially affect railway operations, and it can potentially be bundled with 2 cross-department tasks."
TASK-0042,TDMS,Traction Distribution,ASSET-SEC-04-0042,Feeder,COR-02,SEC-04,4.47,5.46,OHE alignment deviation,2,3,0.537,2,3,2026-06-30,2026-07-07,52,150,195,Power,TRD-Team-01,3,Insulation Tester,01:00:00,05:00:00,,,True,Pending,53.09,Medium,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 16.0, ""failure_probability"": 8.59, ""defect_severity"": 3.5, ""operational_impact"": 6.0, ""asset_importance"": 2.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}",TASK-0042 received a priority score of 53.1/100 (Medium) because it is 52 days overdue.
TASK-0043,TMS,Engineering,ASSET-SEC-05-0043,Bridge Component,COR-02,SEC-05,26.41,28.92,Insufficient ballast,1,4,0.492,5,1,2026-07-22,2026-08-22,6,150,180,Track Possession,ENG-Team-03,8,Ultrasonic Rail Tester|Rail Grinder,22:00:00,23:59:00,,TASK-0047|TASK-0096,False,Pending,53.57,Medium,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 11.2, ""failure_probability"": 7.87, ""defect_severity"": 0.0, ""operational_impact"": 0.0, ""asset_importance"": 8.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0043 received a priority score of 53.6/100 (Medium) because it has high safety criticality, it is 6 days overdue, and it can potentially be bundled with 2 cross-department tasks."
TASK-0044,SMMS,Signal & Telecommunication,ASSET-SEC-01-0044,Point Machine,COR-01,SEC-01,1.6,4.49,Point machine response delay,1,3,0.384,4,4,2026-06-15,2026-07-25,34,45,75,Signalling,SNT-Team-02,4,Cable Fault Locator|Axle Counter Tester,22:00:00,23:59:00,,TASK-0153,False,Pending,56.14,Medium,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 16.0, ""failure_probability"": 6.14, ""defect_severity"": 0.0, ""operational_impact"": 9.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0044 received a priority score of 56.1/100 (Medium) because it is 34 days overdue, it can materially affect railway operations, and it can potentially be bundled with 1 cross-department task."
TASK-0045,TDMS,Traction Distribution,ASSET-SEC-06-0045,Feeder,COR-02,SEC-06,45.73,48.33,OHE alignment deviation,4,3,0.706,3,3,2026-07-16,2026-08-14,14,120,165,Power,TRD-Team-02,3,Contact Wire Gauge,00:00:00,04:00:00,,TASK-0065|TASK-0080|TASK-0175,False,Pending,68.13,High,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 13.33, ""failure_probability"": 11.3, ""defect_severity"": 10.5, ""operational_impact"": 6.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 6.0, ""resource_readiness"": 6.0}","TASK-0045 received a priority score of 68.1/100 (High) because it is 14 days overdue, the defect severity is high, its estimated failure probability is 71%, and it can potentially be bundled with 3 cross-department tasks."
TASK-0046,TMS,Engineering,ASSET-SEC-09-0046,Bridge Component,COR-03,SEC-09,49.2,49.55,Insufficient ballast,5,4,0.876,4,4,2026-06-22,2026-07-18,41,60,75,Track Possession,ENG-Team-01,6,Tamping Machine,10:30:00,13:30:00,,,False,Pending,81.52,Critical,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 16.0, ""failure_probability"": 14.02, ""defect_severity"": 14.0, ""operational_impact"": 9.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}","TASK-0046 received a priority score of 81.5/100 (Critical) because it has high safety criticality, it is 41 days overdue, the defect severity is very high, its estimated failure probability is 88%, and it can materially affect railway operations."
TASK-0047,SMMS,Signal & Telecommunication,ASSET-SEC-05-0047,Communication Cable,COR-02,SEC-05,25.64,27.39,Communication link degradation,1,4,0.557,4,2,2026-08-16,2026-09-02,0,45,75,Signalling,SNT-Team-03,3,Track Circuit Meter|Cable Fault Locator,10:30:00,13:30:00,,TASK-0043|TASK-0067|TASK-0096,False,Pending,52.01,Medium,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 5.6, ""failure_probability"": 8.91, ""defect_severity"": 0.0, ""operational_impact"": 3.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 6.0, ""resource_readiness"": 6.0}","TASK-0047 received a priority score of 52.0/100 (Medium) because it has high safety criticality, and it can potentially be bundled with 3 cross-department tasks."
TASK-0048,TDMS,Traction Distribution,ASSET-SEC-15-0048,Insulator,COR-05,SEC-15,61.68,63.97,Feeder voltage anomaly,1,3,0.433,3,5,2026-08-10,2026-10-07,0,120,150,Power and Track,TRD-Team-03,8,Contact Wire Gauge,22:00:00,23:59:00,,TASK-0074,False,Pending,44.33,Low,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 2.4, ""failure_probability"": 6.93, ""defect_severity"": 0.0, ""operational_impact"": 12.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0048 received a priority score of 44.3/100 (Low) because it can materially affect railway operations, and it can potentially be bundled with 1 cross-department task."
TASK-0049,TMS,Engineering,ASSET-SEC-08-0049,Bridge Component,COR-03,SEC-08,30.23,31.4,Insufficient ballast,5,4,0.834,1,3,2026-06-18,2026-08-08,20,120,135,Power and Track,ENG-Team-02,10,Inspection Trolley|Ultrasonic Rail Tester,01:00:00,05:00:00,,TASK-0105|TASK-0147,False,Pending,74.77,High,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 14.93, ""failure_probability"": 13.34, ""defect_severity"": 14.0, ""operational_impact"": 6.0, ""asset_importance"": 0.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0049 received a priority score of 74.8/100 (High) because it has high safety criticality, it is 20 days overdue, the defect severity is very high, its estimated failure probability is 83%, and it can potentially be bundled with 2 cross-department tasks."
TASK-0050,SMMS,Signal & Telecommunication,ASSET-SEC-11-0050,Point Machine,COR-04,SEC-11,27.18,29.21,Point machine response delay,1,2,0.286,1,2,2026-08-08,2026-09-11,0,120,150,Signalling,SNT-Team-03,3,Track Circuit Meter,00:00:00,04:00:00,,TASK-0159,True,Pending,23.48,Low,True,"{""safety_criticality"": 5.5, ""deadline_urgency"": 2.4, ""failure_probability"": 4.58, ""defect_severity"": 0.0, ""operational_impact"": 3.0, ""asset_importance"": 0.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}",TASK-0050 received a priority score of 23.5/100 (Low) because it can potentially be bundled with 1 cross-department task.
TASK-0051,TDMS,Traction Distribution,ASSET-SEC-13-0051,Feeder,COR-05,SEC-13,22.78,23.33,OHE alignment deviation,1,3,0.453,2,3,2026-05-31,2026-06-28,61,150,180,Power,TRD-Team-03,3,OHE Inspection Vehicle,10:30:00,13:30:00,,TASK-0169,False,Pending,50.25,Medium,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 16.0, ""failure_probability"": 7.25, ""defect_severity"": 0.0, ""operational_impact"": 6.0, ""asset_importance"": 2.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0051 received a priority score of 50.2/100 (Medium) because it is 61 days overdue, and it can potentially be bundled with 1 cross-department task."
TASK-0052,TMS,Engineering,ASSET-SEC-02-0052,Sleepers,COR-01,SEC-02,31.69,33.86,Worn crossing,2,3,0.566,2,2,2026-08-15,2026-09-15,0,60,90,Power and Track,ENG-Team-02,6,Tamping Machine|Inspection Trolley,00:00:00,04:00:00,,,True,Pending,36.96,Low,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 2.4, ""failure_probability"": 9.06, ""defect_severity"": 3.5, ""operational_impact"": 3.0, ""asset_importance"": 2.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}",TASK-0052 received a priority score of 37.0/100 (Low) because its combined risk and urgency factors require planned attention.
TASK-0053,SMMS,Signal & Telecommunication,ASSET-SEC-02-0053,Point Machine,COR-01,SEC-02,28.97,30.24,Point machine response delay,4,5,0.736,3,5,2026-06-01,2026-06-19,70,90,135,Signalling,SNT-Team-01,5,Signal Tester|Cable Fault Locator,10:30:00,13:30:00,,,False,Pending,82.28,Critical,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 16.0, ""failure_probability"": 11.78, ""defect_severity"": 10.5, ""operational_impact"": 12.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}","TASK-0053 received a priority score of 82.3/100 (Critical) because it is safety-critical, it is 70 days overdue, the defect severity is high, its estimated failure probability is 74%, and it can materially affect railway operations."
TASK-0054,TDMS,Traction Distribution,ASSET-SEC-10-0054,Contact Wire,COR-04,SEC-10,4.19,7.08,Insulator degradation,4,3,0.59,3,3,2026-05-31,2026-06-19,70,120,150,Power,TRD-Team-03,8,Contact Wire Gauge|Tower Wagon,00:00:00,04:00:00,,TASK-0035|TASK-0070|TASK-0170,True,Pending,68.94,High,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 16.0, ""failure_probability"": 9.44, ""defect_severity"": 10.5, ""operational_impact"": 6.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 6.0, ""resource_readiness"": 6.0}","TASK-0054 received a priority score of 68.9/100 (High) because it is 70 days overdue, the defect severity is high, and it can potentially be bundled with 3 cross-department tasks."
TASK-0055,TMS,Engineering,ASSET-SEC-10-0055,Points and Crossings,COR-04,SEC-10,12.11,14.01,Track geometry deviation,4,3,0.734,2,1,2026-08-21,2026-10-01,0,90,135,Power and Track,ENG-Team-03,4,Tamping Machine,10:30:00,13:30:00,,TASK-0164,False,Pending,45.64,Medium,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 2.4, ""failure_probability"": 11.74, ""defect_severity"": 10.5, ""operational_impact"": 0.0, ""asset_importance"": 2.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0055 received a priority score of 45.6/100 (Medium) because the defect severity is high, its estimated failure probability is 73%, and it can potentially be bundled with 1 cross-department task."
TASK-0056,SMMS,Signal & Telecommunication,ASSET-SEC-08-0056,Communication Cable,COR-03,SEC-08,20.63,21.85,Communication link degradation,3,3,0.627,3,4,2026-08-11,2026-08-19,9,45,60,Signalling,SNT-Team-03,4,Axle Counter Tester|Signal Tester,01:00:00,05:00:00,,,False,Pending,59.03,Medium,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 12.0, ""failure_probability"": 10.03, ""defect_severity"": 7.0, ""operational_impact"": 9.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}","TASK-0056 received a priority score of 59.0/100 (Medium) because it is 9 days overdue, and it can materially affect railway operations."
TASK-0057,TDMS,Traction Distribution,ASSET-SEC-08-0057,Sectioning Equipment,COR-03,SEC-08,38.29,38.63,Sectioning equipment fault,4,5,0.791,3,3,2026-07-30,2026-09-26,0,120,135,Power and Track,TRD-Team-02,6,Tower Wagon,10:30:00,13:30:00,,TASK-0137,True,Pending,65.56,High,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 2.4, ""failure_probability"": 12.66, ""defect_severity"": 10.5, ""operational_impact"": 6.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0057 received a priority score of 65.6/100 (High) because it is safety-critical, the defect severity is high, its estimated failure probability is 79%, and it can potentially be bundled with 1 cross-department task."
TASK-0058,TMS,Engineering,ASSET-SEC-04-0058,Ballast,COR-02,SEC-04,7.31,9.24,Damaged sleeper,5,4,0.882,1,1,2026-06-17,2026-07-10,49,150,195,Track Possession,ENG-Team-02,4,Inspection Trolley,10:30:00,13:30:00,,TASK-0024|TASK-0123|TASK-0135,True,Pending,72.61,High,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 16.0, ""failure_probability"": 14.11, ""defect_severity"": 14.0, ""operational_impact"": 0.0, ""asset_importance"": 0.0, ""bundling_opportunity"": 6.0, ""resource_readiness"": 6.0}","TASK-0058 received a priority score of 72.6/100 (High) because it has high safety criticality, it is 49 days overdue, the defect severity is very high, its estimated failure probability is 88%, and it can potentially be bundled with 3 cross-department tasks."
TASK-0059,SMMS,Signal & Telecommunication,ASSET-SEC-15-0059,Point Machine,COR-05,SEC-15,60.17,61.46,Point machine response delay,5,4,0.867,3,2,2026-07-11,2026-08-25,3,45,75,Signalling,SNT-Team-02,3,Axle Counter Tester|Signal Tester,00:00:00,04:00:00,,TASK-0171,False,Pending,69.77,High,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 10.4, ""failure_probability"": 13.87, ""defect_severity"": 14.0, ""operational_impact"": 3.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0059 received a priority score of 69.8/100 (High) because it has high safety criticality, it is 3 days overdue, the defect severity is very high, its estimated failure probability is 87%, and it can potentially be bundled with 1 cross-department task."
TASK-0060,TDMS,Traction Distribution,ASSET-SEC-02-0060,Contact Wire,COR-01,SEC-02,35.66,36.1,Insulator degradation,1,4,0.389,3,2,2026-06-06,2026-07-01,58,45,75,Power,TRD-Team-03,4,OHE Inspection Vehicle,00:00:00,04:00:00,,TASK-0116,True,Pending,53.72,Medium,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 16.0, ""failure_probability"": 6.22, ""defect_severity"": 0.0, ""operational_impact"": 3.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0060 received a priority score of 53.7/100 (Medium) because it has high safety criticality, it is 58 days overdue, and it can potentially be bundled with 1 cross-department task."
TASK-0061,TMS,Engineering,ASSET-SEC-13-0061,Sleepers,COR-05,SEC-13,13.02,14.86,Worn crossing,2,5,0.501,1,2,2026-07-29,2026-08-22,6,90,105,Track Possession,ENG-Team-02,6,Rail Grinder,22:00:00,23:59:00,,,False,Pending,53.72,Medium,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 11.2, ""failure_probability"": 8.02, ""defect_severity"": 3.5, ""operational_impact"": 3.0, ""asset_importance"": 0.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}","TASK-0061 received a priority score of 53.7/100 (Medium) because it is safety-critical, and it is 6 days overdue."
TASK-0062,SMMS,Signal & Telecommunication,ASSET-SEC-01-0062,Signal,COR-01,SEC-01,3.05,3.4,Intermittent signal failure,1,1,0.199,1,5,2026-07-05,2026-08-10,18,60,105,Signalling,SNT-Team-02,2,Cable Fault Locator|Axle Counter Tester,22:00:00,23:59:00,,,True,Pending,35.58,Low,True,"{""safety_criticality"": 0.0, ""deadline_urgency"": 14.4, ""failure_probability"": 3.18, ""defect_severity"": 0.0, ""operational_impact"": 12.0, ""asset_importance"": 0.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}","TASK-0062 received a priority score of 35.6/100 (Low) because it is 18 days overdue, and it can materially affect railway operations."
TASK-0063,TDMS,Traction Distribution,ASSET-SEC-08-0063,Overhead Equipment,COR-03,SEC-08,36.1,37.49,Contact wire wear,4,1,0.605,5,5,2026-08-14,2026-09-17,0,90,135,Power and Track,TRD-Team-03,6,Contact Wire Gauge,01:00:00,05:00:00,,,False,Pending,48.58,Medium,True,"{""safety_criticality"": 0.0, ""deadline_urgency"": 2.4, ""failure_probability"": 9.68, ""defect_severity"": 10.5, ""operational_impact"": 12.0, ""asset_importance"": 8.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}","TASK-0063 received a priority score of 48.6/100 (Medium) because the defect severity is high, and it can materially affect railway operations."
TASK-0064,TMS,Engineering,ASSET-SEC-10-0064,Ballast,COR-04,SEC-10,7.43,8.9,Damaged sleeper,1,1,0.293,3,4,2026-06-11,2026-07-11,48,180,225,Track Possession,ENG-Team-02,4,Inspection Trolley|Ultrasonic Rail Tester,01:00:00,05:00:00,,TASK-0161|TASK-0170|TASK-0186,False,Pending,45.69,Medium,True,"{""safety_criticality"": 0.0, ""deadline_urgency"": 16.0, ""failure_probability"": 4.69, ""defect_severity"": 0.0, ""operational_impact"": 9.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 6.0, ""resource_readiness"": 6.0}","TASK-0064 received a priority score of 45.7/100 (Medium) because it is 48 days overdue, it can materially affect railway operations, and it can potentially be bundled with 3 cross-department tasks."
TASK-0065,SMMS,Signal & Telecommunication,ASSET-SEC-06-0065,Signal,COR-02,SEC-06,45.64,46.89,Intermittent signal failure,4,1,0.403,1,5,2026-08-08,2026-09-23,0,30,45,Track Possession,SNT-Team-03,4,Cable Fault Locator|Axle Counter Tester,14:00:00,17:00:00,,TASK-0003|TASK-0045|TASK-0175,False,Pending,43.35,Low,True,"{""safety_criticality"": 0.0, ""deadline_urgency"": 2.4, ""failure_probability"": 6.45, ""defect_severity"": 10.5, ""operational_impact"": 12.0, ""asset_importance"": 0.0, ""bundling_opportunity"": 6.0, ""resource_readiness"": 6.0}","TASK-0065 received a priority score of 43.4/100 (Low) because the defect severity is high, it can materially affect railway operations, and it can potentially be bundled with 3 cross-department tasks."
TASK-0066,TDMS,Traction Distribution,ASSET-SEC-07-0066,Sectioning Equipment,COR-03,SEC-07,6.9,8.96,Sectioning equipment fault,1,3,0.39,4,2,2026-07-04,2026-08-31,0,90,105,Power,TRD-Team-02,6,Insulation Tester,22:00:00,23:59:00,TASK-0012,TASK-0004,True,Pending,36.64,Low,True,"{""safety_criticality"": 11.0, ""deadline_urgency"": 2.4, ""failure_probability"": 6.24, ""defect_severity"": 0.0, ""operational_impact"": 3.0, ""asset_importance"": 6.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}",TASK-0066 received a priority score of 36.6/100 (Low) because it can potentially be bundled with 1 cross-department task.
TASK-0067,TMS,Engineering,ASSET-SEC-05-0067,Sleepers,COR-02,SEC-05,26.05,28.51,Worn crossing,5,5,0.969,3,3,2026-06-17,2026-08-08,20,180,195,Track Possession,ENG-Team-02,4,Inspection Trolley,22:00:00,23:59:00,,TASK-0047|TASK-0096,True,Pending,86.43,Critical,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 14.93, ""failure_probability"": 15.5, ""defect_severity"": 14.0, ""operational_impact"": 6.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0067 received a priority score of 86.4/100 (Critical) because it is safety-critical, it is 20 days overdue, the defect severity is very high, its estimated failure probability is 97%, and it can potentially be bundled with 2 cross-department tasks."
TASK-0068,SMMS,Signal & Telecommunication,ASSET-SEC-03-0068,Point Machine,COR-01,SEC-03,46.69,48.01,Point machine response delay,1,1,0.267,3,3,2026-08-09,2026-09-28,0,45,75,Track Possession,SNT-Team-03,2,Cable Fault Locator|Track Circuit Meter,14:00:00,17:00:00,,,False,Pending,22.67,Low,True,"{""safety_criticality"": 0.0, ""deadline_urgency"": 2.4, ""failure_probability"": 4.27, ""defect_severity"": 0.0, ""operational_impact"": 6.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}",TASK-0068 received a priority score of 22.7/100 (Low) because its combined risk and urgency factors require planned attention.
TASK-0069,TDMS,Traction Distribution,ASSET-SEC-03-0069,Feeder,COR-01,SEC-03,39.33,41.26,OHE alignment deviation,3,4,0.685,1,3,2026-06-02,2026-06-10,79,120,165,Power,TRD-Team-01,6,Insulation Tester|Contact Wire Gauge,14:00:00,17:00:00,,TASK-0079|TASK-0083,False,Pending,66.46,High,True,"{""safety_criticality"": 16.5, ""deadline_urgency"": 16.0, ""failure_probability"": 10.96, ""defect_severity"": 7.0, ""operational_impact"": 6.0, ""asset_importance"": 0.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0069 received a priority score of 66.5/100 (High) because it has high safety criticality, it is 79 days overdue, and it can potentially be bundled with 2 cross-department tasks."
TASK-0070,TMS,Engineering,ASSET-SEC-10-0070,Points and Crossings,COR-04,SEC-10,6.81,8.88,Track geometry deviation,4,5,0.714,1,1,2026-08-22,2026-09-08,0,90,120,Track Possession,ENG-Team-03,10,Tamping Machine|Inspection Trolley,01:00:00,05:00:00,,TASK-0054|TASK-0161|TASK-0170,True,Pending,61.52,Medium,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 5.6, ""failure_probability"": 11.42, ""defect_severity"": 10.5, ""operational_impact"": 0.0, ""asset_importance"": 0.0, ""bundling_opportunity"": 6.0, ""resource_readiness"": 6.0}","TASK-0070 received a priority score of 61.5/100 (Medium) because it is safety-critical, the defect severity is high, its estimated failure probability is 71%, and it can potentially be bundled with 3 cross-department tasks."
TASK-0071,SMMS,Signal & Telecommunication,ASSET-SEC-07-0071,Point Machine,COR-03,SEC-07,10.39,11.23,Point machine response delay,3,1,0.379,5,4,2026-06-17,2026-08-12,16,30,60,Track Possession,SNT-Team-02,5,Axle Counter Tester,00:00:00,04:00:00,,TASK-0012|TASK-0040|TASK-0120,False,Pending,55.93,Medium,True,"{""safety_criticality"": 0.0, ""deadline_urgency"": 13.87, ""failure_probability"": 6.06, ""defect_severity"": 7.0, ""operational_impact"": 9.0, ""asset_importance"": 8.0, ""bundling_opportunity"": 6.0, ""resource_readiness"": 6.0}","TASK-0071 received a priority score of 55.9/100 (Medium) because it is 16 days overdue, it can materially affect railway operations, and it can potentially be bundled with 3 cross-department tasks."
TASK-0072,TDMS,Traction Distribution,ASSET-SEC-07-0072,Sectioning Equipment,COR-03,SEC-07,0.41,1.52,Sectioning equipment fault,3,1,0.389,3,3,2026-06-09,2026-07-11,48,45,60,Power,TRD-Team-02,4,OHE Inspection Vehicle|Insulation Tester,14:00:00,17:00:00,,,True,Pending,45.22,Medium,True,"{""safety_criticality"": 0.0, ""deadline_urgency"": 16.0, ""failure_probability"": 6.22, ""defect_severity"": 7.0, ""operational_impact"": 6.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 0.0, ""resource_readiness"": 6.0}",TASK-0072 received a priority score of 45.2/100 (Medium) because it is 48 days overdue.
TASK-0073,TMS,Engineering,ASSET-SEC-11-0073,Bridge Component,COR-04,SEC-11,16.32,17.95,Insufficient ballast,2,2,0.286,2,4,2026-07-14,2026-08-08,20,120,135,Track Possession,ENG-Team-03,10,Rail Grinder,01:00:00,05:00:00,TASK-0001,TASK-0020,False,Pending,47.51,Medium,True,"{""safety_criticality"": 5.5, ""deadline_urgency"": 14.93, ""failure_probability"": 4.58, ""defect_severity"": 3.5, ""operational_impact"": 9.0, ""asset_importance"": 2.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0073 received a priority score of 47.5/100 (Medium) because it is 20 days overdue, it can materially affect railway operations, and it can potentially be bundled with 1 cross-department task."
TASK-0074,SMMS,Signal & Telecommunication,ASSET-SEC-15-0074,Axle Counter,COR-05,SEC-15,60.83,62.81,Axle counter mismatch,3,2,0.47,5,1,2026-06-09,2026-07-02,57,90,120,Signalling,SNT-Team-02,5,Axle Counter Tester,10:30:00,13:30:00,,TASK-0048|TASK-0171,True,Pending,54.02,Medium,True,"{""safety_criticality"": 5.5, ""deadline_urgency"": 16.0, ""failure_probability"": 7.52, ""defect_severity"": 7.0, ""operational_impact"": 0.0, ""asset_importance"": 8.0, ""bundling_opportunity"": 4.0, ""resource_readiness"": 6.0}","TASK-0074 received a priority score of 54.0/100 (Medium) because it is 57 days overdue, and it can potentially be bundled with 2 cross-department tasks."
TASK-0075,TDMS,Traction Distribution,ASSET-SEC-06-0075,Feeder,COR-02,SEC-06,48.55,48.96,OHE alignment deviation,5,5,0.896,5,4,2026-08-16,2026-09-27,0,150,195,Power and Track,TRD-Team-01,3,Contact Wire Gauge,00:00:00,04:00:00,,TASK-0175,False,Pending,77.74,High,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 2.4, ""failure_probability"": 14.34, ""defect_severity"": 14.0, ""operational_impact"": 9.0, ""asset_importance"": 8.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0075 received a priority score of 77.7/100 (High) because it is safety-critical, the defect severity is very high, its estimated failure probability is 90%, it can materially affect railway operations, and it can potentially be bundled with 1 cross-department task."
TASK-0076,TMS,Engineering,ASSET-SEC-13-0076,Bridge Component,COR-05,SEC-13,21.13,22.25,Insufficient ballast,2,1,0.242,3,3,2026-08-17,2026-09-21,0,150,180,Track Possession,ENG-Team-02,8,Tamping Machine,22:00:00,23:59:00,,TASK-0149|TASK-0173|TASK-0194,False,Pending,31.77,Low,True,"{""safety_criticality"": 0.0, ""deadline_urgency"": 2.4, ""failure_probability"": 3.87, ""defect_severity"": 3.5, ""operational_impact"": 6.0, ""asset_importance"": 4.0, ""bundling_opportunity"": 6.0, ""resource_readiness"": 6.0}",TASK-0076 received a priority score of 31.8/100 (Low) because it can potentially be bundled with 3 cross-department tasks.
TASK-0077,SMMS,Signal & Telecommunication,ASSET-SEC-01-0077,Track Circuit,COR-01,SEC-01,13.81,15.82,Track circuit instability,1,5,0.57,2,3,2026-08-19,2026-09-12,0,60,90,Signalling,SNT-Team-03,5,Signal Tester|Axle Counter Tester,22:00:00,23:59:00,,TASK-0021,False,Pending,52.72,Medium,True,"{""safety_criticality"": 22.0, ""deadline_urgency"": 5.6, ""failure_probability"": 9.12, ""defect_severity"": 0.0, ""operational_impact"": 6.0, ""asset_importance"": 2.0, ""bundling_opportunity"": 2.0, ""resource_readiness"": 6.0}","TASK-0077 received a priority score of 52.7/100 (Medium) because it is safety-critical, and it can potentially be bundled with 1 cross-department task."
