task_id,source_system,department,asset_id,asset_type,corridor_id,section_id,start_km,end_km,defect_type,defect_severity,safety_criticality,failure_probability,asset_importance,operational_impact,detection_date,due_date,overdue_days,estimated_duration_minutes,minimum_block_minutes,disconnection_type,required_team,required_personnel,required_equipment,preferred_start_time,preferred_end_time,dependency_task_ids,compatible_task_ids,weather_sensitive,status,priority_score,priority_level,synthetic_data
TASK-0084,TDMS,Traction Distribution,ASSET-SEC-04-0084,Overhead Equipment,COR-02,SEC-04,4.67,5.0,Contact wire wear,5,4,0.736,3,4,2026-07-05,2026-08-17,11,120,165,Power,TRD-Team-03,6,Insulation Tester,22:00:00,23:59:00,,,True,Pending,,,True
TASK-0085,TMS,Engineering,ASSET-SEC-07-0085,Ballast,COR-03,SEC-07,3.65,5.72,Damaged sleeper,1,5,0.536,4,3,2026-06-21,2026-07-17,42,180,225,Track Possession,ENG-Team-03,4,Rail Grinder|Tamping Machine,00:00:00,04:00:00,,,False,Pending,,,True
TASK-0086,SMMS,Signal & Telecommunication,ASSET-SEC-02-0086,Track Circuit,COR-01,SEC-02,24.21,26.46,Track circuit instability,5,4,0.753,2,2,2026-06-08,2026-06-17,72,60,105,Signalling,SNT-Team-03,5,Track Circuit Meter|Axle Counter Tester,10:30:00,13:30:00,,TASK-0027,True,Pending,,,True
TASK-0087,TDMS,Traction Distribution,ASSET-SEC-04-0087,Overhead Equipment,COR-02,SEC-04,0.68,1.44,Contact wire wear,3,5,0.7,3,1,2026-08-22,2026-09-14,0,150,180,Power and Track,TRD-Team-02,6,Contact Wire Gauge,10:30:00,13:30:00,,,True,Pending,,,True
TASK-0088,TMS,Engineering,ASSET-SEC-06-0088,Sleepers,COR-02,SEC-06,41.65,42.97,Worn crossing,4,3,0.783,4,1,2026-07-02,2026-08-31,0,150,195,Track Possession,ENG-Team-03,6,Rail Grinder|Tamping Machine,14:00:00,17:00:00,,,False,Pending,,,True
TASK-0089,SMMS,Signal & Telecommunication,ASSET-SEC-06-0089,Axle Counter,COR-02,SEC-06,35.8,36.92,Axle counter mismatch,4,5,0.879,3,5,2026-07-21,2026-08-12,16,45,90,Signalling,SNT-Team-02,2,Signal Tester|Axle Counter Tester,14:00:00,17:00:00,,,True,Pending,,,True
TASK-0090,TDMS,Traction Distribution,ASSET-SEC-11-0090,Overhead Equipment,COR-04,SEC-11,21.0,22.64,Contact wire wear,1,2,0.372,3,4,2026-06-02,2026-06-15,74,120,135,Power and Track,TRD-Team-01,4,Contact Wire Gauge,01:00:00,05:00:00,,,False,Pending,,,True
TASK-0091,TMS,Engineering,ASSET-SEC-06-0091,Rail,COR-02,SEC-06,40.51,42.85,Rail surface defect,5,4,0.82,5,4,2026-06-15,2026-06-26,63,120,135,Power and Track,ENG-Team-01,8,Ultrasonic Rail Tester,00:00:00,04:00:00,,TASK-0036,False,Pending,,,True
TASK-0092,SMMS,Signal & Telecommunication,ASSET-SEC-12-0092,Point Machine,COR-04,SEC-12,38.81,41.8,Point machine response delay,4,2,0.491,3,1,2026-07-22,2026-09-07,0,30,60,Track Possession,SNT-Team-03,4,Axle Counter Tester,01:00:00,05:00:00,,TASK-0142,False,Pending,,,True
TASK-0093,TDMS,Traction Distribution,ASSET-SEC-14-0093,Contact Wire,COR-05,SEC-14,27.54,29.73,Insulator degradation,2,3,0.467,5,5,2026-05-30,2026-07-12,47,45,60,Power,TRD-Team-02,4,OHE Inspection Vehicle|Insulation Tester,01:00:00,05:00:00,TASK-0081,TASK-0124|TASK-0200,False,Pending,,,True
TASK-0094,TMS,Engineering,ASSET-SEC-02-0094,Rail,COR-01,SEC-02,19.18,20.49,Rail surface defect,4,4,0.826,5,3,2026-06-27,2026-08-02,26,60,75,Track Possession,ENG-Team-03,6,Ultrasonic Rail Tester|Tamping Machine,10:30:00,13:30:00,,,False,Pending,,,True
TASK-0095,SMMS,Signal & Telecommunication,ASSET-SEC-03-0095,Track Circuit,COR-01,SEC-03,44.29,47.04,Track circuit instability,1,5,0.438,3,2,2026-08-20,2026-10-15,0,45,60,Track Possession,SNT-Team-03,4,Axle Counter Tester|Signal Tester,10:30:00,13:30:00,,TASK-0039,False,Pending,,,True
TASK-0096,TDMS,Traction Distribution,ASSET-SEC-05-0096,Insulator,COR-02,SEC-05,26.75,27.21,Feeder voltage anomaly,5,5,0.839,1,1,2026-06-06,2026-06-19,70,150,195,Power and Track,TRD-Team-03,6,OHE Inspection Vehicle,22:00:00,23:59:00,,TASK-0043|TASK-0047|TASK-0067,False,Pending,,,True
TASK-0097,TMS,Engineering,ASSET-SEC-13-0097,Ballast,COR-05,SEC-13,13.45,15.38,Damaged sleeper,5,4,0.88,1,2,2026-08-24,2026-09-27,0,120,150,Track Possession,ENG-Team-02,10,Ultrasonic Rail Tester|Rail Grinder,01:00:00,05:00:00,,,False,Pending,,,True
TASK-0098,SMMS,Signal & Telecommunication,ASSET-SEC-06-0098,Signal,COR-02,SEC-06,44.62,45.7,Intermittent signal failure,3,4,0.553,1,3,2026-07-18,2026-09-05,0,60,105,Signalling,SNT-Team-01,3,Cable Fault Locator|Track Circuit Meter,22:00:00,23:59:00,,TASK-0003,True,Pending,,,True
TASK-0099,TDMS,Traction Distribution,ASSET-SEC-05-0099,Feeder,COR-02,SEC-05,32.54,33.83,OHE alignment deviation,2,3,0.573,4,1,2026-07-05,2026-07-23,36,90,105,Power,TRD-Team-02,8,Tower Wagon|Insulation Tester,01:00:00,05:00:00,,TASK-0014,False,Pending,,,True
TASK-0100,TMS,Engineering,ASSET-SEC-04-0100,Points and Crossings,COR-02,SEC-04,9.04,9.38,Track geometry deviation,5,4,0.791,3,1,2026-07-22,2026-08-25,3,60,75,Track Possession,ENG-Team-01,6,Tamping Machine|Inspection Trolley,14:00:00,17:00:00,,TASK-0024|TASK-0123|TASK-0197,False,Pending,,,True
TASK-0101,SMMS,Signal & Telecommunication,ASSET-SEC-05-0101,Axle Counter,COR-02,SEC-05,17.29,18.9,Axle counter mismatch,5,5,0.83,5,5,2026-06-18,2026-07-08,51,30,60,Signalling,SNT-Team-03,2,Cable Fault Locator|Signal Tester,10:30:00,13:30:00,,TASK-0127,True,Pending,,,True
TASK-0102,TDMS,Traction Distribution,ASSET-SEC-03-0102,Insulator,COR-01,SEC-03,49.34,51.79,Feeder voltage anomaly,2,5,0.723,5,3,2026-06-22,2026-07-24,35,60,90,Power and Track,TRD-Team-02,8,Tower Wagon,22:00:00,23:59:00,,TASK-0134|TASK-0176,False,Pending,,,True
TASK-0103,TMS,Engineering,ASSET-SEC-05-0103,Sleepers,COR-02,SEC-05,24.31,24.56,Worn crossing,1,4,0.466,5,4,2026-07-16,2026-08-31,0,60,105,Track Possession,ENG-Team-03,10,Rail Grinder,14:00:00,17:00:00,,,True,Pending,,,True
TASK-0104,SMMS,Signal & Telecommunication,ASSET-SEC-11-0104,Track Circuit,COR-04,SEC-11,18.38,20.18,Track circuit instability,2,1,0.29,1,2,2026-05-30,2026-06-09,80,90,105,Track Possession,SNT-Team-01,4,Track Circuit Meter|Axle Counter Tester,14:00:00,17:00:00,,TASK-0001|TASK-0025,False,Pending,,,True
TASK-0105,TDMS,Traction Distribution,ASSET-SEC-08-0105,Contact Wire,COR-03,SEC-08,29.98,31.06,Insulator degradation,5,4,0.857,5,3,2026-08-05,2026-09-06,0,90,135,Power,TRD-Team-02,6,Contact Wire Gauge,14:00:00,17:00:00,,TASK-0049,False,Pending,,,True
TASK-0106,TMS,Engineering,ASSET-SEC-12-0106,Sleepers,COR-04,SEC-12,43.34,44.43,Worn crossing,3,3,0.47,1,3,2026-07-14,2026-08-21,7,180,210,Power and Track,ENG-Team-01,8,Tamping Machine,14:00:00,17:00:00,,TASK-0002,False,Pending,,,True
TASK-0107,SMMS,Signal & Telecommunication,ASSET-SEC-11-0107,Communication Cable,COR-04,SEC-11,18.6,20.14,Communication link degradation,5,4,0.953,1,5,2026-08-02,2026-09-26,0,60,75,Signalling,SNT-Team-03,3,Cable Fault Locator,00:00:00,04:00:00,,TASK-0025,True,Pending,,,True
TASK-0108,TDMS,Traction Distribution,ASSET-SEC-07-0108,Feeder,COR-03,SEC-07,6.44,7.96,OHE alignment deviation,2,1,0.421,3,3,2026-06-01,2026-07-23,36,60,90,Power and Track,TRD-Team-01,3,Contact Wire Gauge,14:00:00,17:00:00,,TASK-0004,False,Pending,,,True
TASK-0109,TMS,Engineering,ASSET-SEC-04-0109,Points and Crossings,COR-02,SEC-04,8.29,10.51,Track geometry deviation,4,2,0.693,3,5,2026-08-23,2026-09-06,0,60,90,Power and Track,ENG-Team-01,8,Rail Grinder|Ultrasonic Rail Tester,14:00:00,17:00:00,,TASK-0024|TASK-0123|TASK-0197,True,Pending,,,True
TASK-0110,SMMS,Signal & Telecommunication,ASSET-SEC-11-0110,Point Machine,COR-04,SEC-11,23.19,24.77,Point machine response delay,5,4,0.788,3,3,2026-08-10,2026-10-06,0,30,60,Track Possession,SNT-Team-03,3,Cable Fault Locator|Signal Tester,01:00:00,05:00:00,TASK-0104,,False,Pending,,,True
TASK-0111,TDMS,Traction Distribution,ASSET-SEC-14-0111,Feeder,COR-05,SEC-14,38.37,39.71,OHE alignment deviation,3,1,0.38,3,4,2026-07-04,2026-08-08,20,45,60,Power,TRD-Team-02,6,Insulation Tester|OHE Inspection Vehicle,01:00:00,05:00:00,TASK-0081,,False,Pending,,,True
TASK-0112,TMS,Engineering,ASSET-SEC-05-0112,Points and Crossings,COR-02,SEC-05,26.19,27.99,Track geometry deviation,3,2,0.376,1,3,2026-07-25,2026-09-07,0,60,90,Track Possession,ENG-Team-03,6,Tamping Machine|Ultrasonic Rail Tester,10:30:00,13:30:00,,TASK-0047|TASK-0096,True,Pending,,,True
TASK-0113,SMMS,Signal & Telecommunication,ASSET-SEC-03-0113,Track Circuit,COR-01,SEC-03,45.11,46.58,Track circuit instability,4,5,0.928,5,3,2026-06-11,2026-07-07,52,120,165,Signalling,SNT-Team-03,2,Track Circuit Meter,01:00:00,05:00:00,,,True,Pending,,,True
TASK-0114,TDMS,Traction Distribution,ASSET-SEC-09-0114,Sectioning Equipment,COR-03,SEC-09,58.46,59.13,Sectioning equipment fault,2,3,0.554,4,1,2026-06-20,2026-07-02,57,120,135,Power,TRD-Team-01,8,OHE Inspection Vehicle|Contact Wire Gauge,01:00:00,05:00:00,,,False,Pending,,,True
TASK-0115,TMS,Engineering,ASSET-SEC-01-0115,Bridge Component,COR-01,SEC-01,9.78,11.86,Insufficient ballast,1,4,0.384,4,3,2026-07-19,2026-09-06,0,60,105,Power and Track,ENG-Team-01,4,Rail Grinder,01:00:00,05:00:00,,,False,Pending,,,True
TASK-0116,SMMS,Signal & Telecommunication,ASSET-SEC-02-0116,Point Machine,COR-01,SEC-02,35.75,36.21,Point machine response delay,2,2,0.451,5,2,2026-07-22,2026-08-20,8,90,120,Track Possession,SNT-Team-02,2,Track Circuit Meter|Signal Tester,14:00:00,17:00:00,,TASK-0060,False,Pending,,,True
TASK-0117,TDMS,Traction Distribution,ASSET-SEC-09-0117,Feeder,COR-03,SEC-09,47.75,48.31,OHE alignment deviation,1,1,0.325,4,3,2026-07-30,2026-09-24,0,120,165,Power,TRD-Team-02,4,Insulation Tester|OHE Inspection Vehicle,22:00:00,23:59:00,,,False,Pending,,,True
TASK-0118,TMS,Engineering,ASSET-SEC-12-0118,Rail,COR-04,SEC-12,44.4,44.69,Rail surface defect,5,4,0.78,1,4,2026-06-04,2026-07-03,56,60,75,Track Possession,ENG-Team-01,6,Rail Grinder|Ultrasonic Rail Tester,22:00:00,23:59:00,,,False,Pending,,,True
TASK-0119,SMMS,Signal & Telecommunication,ASSET-SEC-13-0119,Track Circuit,COR-05,SEC-13,1.33,2.94,Track circuit instability,5,4,0.864,3,3,2026-07-21,2026-08-07,21,60,75,Signalling,SNT-Team-03,3,Track Circuit Meter,10:30:00,13:30:00,,,False,Pending,,,True
TASK-0120,TDMS,Traction Distribution,ASSET-SEC-07-0120,Insulator,COR-03,SEC-07,10.84,11.17,Feeder voltage anomaly,4,5,0.78,4,2,2026-07-14,2026-08-27,1,120,150,Power,TRD-Team-02,4,Insulation Tester|Contact Wire Gauge,01:00:00,05:00:00,,TASK-0040|TASK-0071,False,Pending,,,True
TASK-0121,TMS,Engineering,ASSET-SEC-15-0121,Rail,COR-05,SEC-15,48.41,49.77,Rail surface defect,5,4,0.817,5,2,2026-07-05,2026-08-12,16,120,135,Track Possession,ENG-Team-02,10,Tamping Machine|Rail Grinder,10:30:00,13:30:00,,TASK-0011|TASK-0017,False,Pending,,,True
TASK-0122,SMMS,Signal & Telecommunication,ASSET-SEC-10-0122,Track Circuit,COR-04,SEC-10,0.55,0.95,Track circuit instability,5,4,0.84,4,2,2026-06-13,2026-08-01,27,60,90,Track Possession,SNT-Team-03,3,Signal Tester,00:00:00,04:00:00,,TASK-0166,False,Pending,,,True
TASK-0123,TDMS,Traction Distribution,ASSET-SEC-04-0123,Feeder,COR-02,SEC-04,8.56,10.93,OHE alignment deviation,5,4,0.797,3,2,2026-07-10,2026-08-11,17,90,135,Power,TRD-Team-02,8,Tower Wagon,14:00:00,17:00:00,,TASK-0016|TASK-0058|TASK-0100,True,Pending,,,True
TASK-0124,TMS,Engineering,ASSET-SEC-14-0124,Sleepers,COR-05,SEC-14,28.98,29.59,Worn crossing,5,5,0.98,5,2,2026-07-25,2026-09-01,0,120,135,Track Possession,ENG-Team-03,8,Ultrasonic Rail Tester,01:00:00,05:00:00,,TASK-0081|TASK-0093,True,Pending,,,True
TASK-0125,SMMS,Signal & Telecommunication,ASSET-SEC-14-0125,Communication Cable,COR-05,SEC-14,34.99,37.22,Communication link degradation,2,3,0.382,1,1,2026-06-26,2026-07-28,31,120,150,Signalling,SNT-Team-02,3,Signal Tester,01:00:00,05:00:00,,,False,Pending,,,True
TASK-0126,TDMS,Traction Distribution,ASSET-SEC-04-0126,Overhead Equipment,COR-02,SEC-04,1.05,1.67,Contact wire wear,4,3,0.555,1,1,2026-07-31,2026-09-04,0,150,180,Power and Track,TRD-Team-03,6,Tower Wagon,14:00:00,17:00:00,TASK-0123,,False,Pending,,,True
TASK-0127,TMS,Engineering,ASSET-SEC-05-0127,Points and Crossings,COR-02,SEC-05,16.3,18.78,Track geometry deviation,2,1,0.41,4,1,2026-06-02,2026-07-02,57,180,195,Track Possession,ENG-Team-02,10,Tamping Machine|Inspection Trolley,01:00:00,05:00:00,,TASK-0101,False,Pending,,,True
TASK-0128,SMMS,Signal & Telecommunication,ASSET-SEC-12-0128,Signal,COR-04,SEC-12,34.95,37.07,Intermittent signal failure,1,1,0.181,1,4,2026-08-17,2026-09-30,0,90,135,Signalling,SNT-Team-03,4,Cable Fault Locator,14:00:00,17:00:00,,TASK-0037|TASK-0141|TASK-0150,False,Pending,,,True
TASK-0129,TDMS,Traction Distribution,ASSET-SEC-14-0129,Sectioning Equipment,COR-05,SEC-14,45.91,46.91,Sectioning equipment fault,2,5,0.619,3,1,2026-08-22,2026-09-08,0,45,60,Power,TRD-Team-03,4,Insulation Tester,10:30:00,13:30:00,,,False,Pending,,,True
TASK-0130,TMS,Engineering,ASSET-SEC-12-0130,Sleepers,COR-04,SEC-12,45.37,48.17,Worn crossing,5,4,0.862,1,5,2026-07-20,2026-08-02,26,150,195,Power and Track,ENG-Team-02,4,Inspection Trolley|Tamping Machine,22:00:00,23:59:00,,TASK-0078|TASK-0152,True,Pending,,,True
TASK-0131,SMMS,Signal & Telecommunication,ASSET-SEC-04-0131,Track Circuit,COR-02,SEC-04,13.0,14.15,Track circuit instability,4,3,0.547,2,5,2026-06-10,2026-07-21,38,60,90,Track Possession,SNT-Team-02,2,Track Circuit Meter|Cable Fault Locator,14:00:00,17:00:00,,TASK-0009|TASK-0174,False,Pending,,,True
TASK-0132,TDMS,Traction Distribution,ASSET-SEC-05-0132,Insulator,COR-02,SEC-05,29.97,32.17,Feeder voltage anomaly,2,4,0.598,1,3,2026-08-17,2026-09-06,0,60,105,Power,TRD-Team-02,6,OHE Inspection Vehicle|Tower Wagon,14:00:00,17:00:00,,TASK-0191,True,Pending,,,True
TASK-0133,TMS,Engineering,ASSET-SEC-02-0133,Bridge Component,COR-01,SEC-02,21.37,22.83,Insufficient ballast,4,1,0.387,3,4,2026-06-17,2026-07-22,37,120,165,Track Possession,ENG-Team-01,6,Ultrasonic Rail Tester|Rail Grinder,00:00:00,04:00:00,,,False,Pending,,,True
TASK-0134,SMMS,Signal & Telecommunication,ASSET-SEC-03-0134,Point Machine,COR-01,SEC-03,48.84,49.51,Point machine response delay,3,4,0.556,3,3,2026-07-24,2026-08-15,13,45,75,Signalling,SNT-Team-03,5,Track Circuit Meter|Signal Tester,10:30:00,13:30:00,,TASK-0102|TASK-0192,False,Pending,,,True
TASK-0135,TDMS,Traction Distribution,ASSET-SEC-04-0135,Feeder,COR-02,SEC-04,7.1,7.68,OHE alignment deviation,3,5,0.695,3,5,2026-08-27,2026-09-24,0,90,120,Power and Track,TRD-Team-01,8,Contact Wire Gauge,10:30:00,13:30:00,,TASK-0058,False,Pending,,,True
TASK-0136,TMS,Engineering,ASSET-SEC-07-0136,Ballast,COR-03,SEC-07,18.89,19.36,Damaged sleeper,4,5,0.895,2,5,2026-05-31,2026-07-13,46,120,150,Power and Track,ENG-Team-01,4,Rail Grinder|Tamping Machine,10:30:00,13:30:00,,,False,Pending,,,True
TASK-0137,SMMS,Signal & Telecommunication,ASSET-SEC-08-0137,Track Circuit,COR-03,SEC-08,37.92,38.41,Track circuit instability,1,4,0.488,4,4,2026-07-21,2026-09-15,0,45,90,Signalling,SNT-Team-02,5,Cable Fault Locator|Axle Counter Tester,10:30:00,13:30:00,,TASK-0057,False,Pending,,,True
TASK-0138,TDMS,Traction Distribution,ASSET-SEC-09-0138,Sectioning Equipment,COR-03,SEC-09,50.14,52.92,Sectioning equipment fault,5,4,0.918,2,3,2026-05-31,2026-06-29,60,90,135,Power,TRD-Team-03,3,OHE Inspection Vehicle,22:00:00,23:59:00,,TASK-0028,False,Pending,,,True
TASK-0139,TMS,Engineering,ASSET-SEC-11-0139,Bridge Component,COR-04,SEC-11,25.34,26.66,Insufficient ballast,4,1,0.383,3,4,2026-07-16,2026-09-07,0,120,135,Track Possession,ENG-Team-03,6,Ultrasonic Rail Tester,22:00:00,23:59:00,,TASK-0158,False,Pending,,,True
TASK-0140,SMMS,Signal & Telecommunication,ASSET-SEC-01-0140,Point Machine,COR-01,SEC-01,8.45,9.48,Point machine response delay,2,3,0.418,4,4,2026-08-17,2026-08-27,1,90,105,Signalling,SNT-Team-01,4,Track Circuit Meter|Signal Tester,22:00:00,23:59:00,TASK-0062,TASK-0193,True,Pending,,,True
TASK-0141,TDMS,Traction Distribution,ASSET-SEC-12-0141,Sectioning Equipment,COR-04,SEC-12,33.01,35.59,Sectioning equipment fault,2,2,0.389,4,2,2026-06-06,2026-06-15,74,150,165,Power,TRD-Team-03,8,Tower Wagon|OHE Inspection Vehicle,10:30:00,13:30:00,,TASK-0037|TASK-0128|TASK-0160,False,Pending,,,True
TASK-0142,TMS,Engineering,ASSET-SEC-12-0142,Bridge Component,COR-04,SEC-12,41.75,42.5,Insufficient ballast,4,1,0.556,3,3,2026-06-13,2026-07-13,46,90,120,Track Possession,ENG-Team-02,4,Inspection Trolley,00:00:00,04:00:00,,TASK-0002|TASK-0092,True,Pending,,,True
TASK-0143,SMMS,Signal & Telecommunication,ASSET-SEC-14-0143,Point Machine,COR-05,SEC-14,35.01,37.91,Point machine response delay,4,5,0.798,5,5,2026-07-18,2026-08-28,0,30,60,Signalling,SNT-Team-03,3,Axle Counter Tester,10:30:00,13:30:00,,,False,Pending,,,True
TASK-0144,TDMS,Traction Distribution,ASSET-SEC-04-0144,Feeder,COR-02,SEC-04,4.73,5.44,OHE alignment deviation,5,4,0.825,5,2,2026-05-31,2026-06-12,77,60,105,Power and Track,TRD-Team-01,8,Tower Wagon,14:00:00,17:00:00,,,True,Pending,,,True
TASK-0145,TMS,Engineering,ASSET-SEC-03-0145,Bridge Component,COR-01,SEC-03,42.16,43.62,Insufficient ballast,3,1,0.401,4,4,2026-08-21,2026-10-18,0,90,120,Power and Track,ENG-Team-02,10,Ultrasonic Rail Tester|Tamping Machine,22:00:00,23:59:00,,TASK-0039|TASK-0198,True,Pending,,,True
TASK-0146,SMMS,Signal & Telecommunication,ASSET-SEC-10-0146,Point Machine,COR-04,SEC-10,0.43,2.76,Point machine response delay,3,2,0.494,3,5,2026-07-21,2026-07-26,33,45,75,Signalling,SNT-Team-03,2,Signal Tester,22:00:00,23:59:00,,TASK-0166,False,Pending,,,True
TASK-0147,TDMS,Traction Distribution,ASSET-SEC-08-0147,Insulator,COR-03,SEC-08,30.38,33.35,Feeder voltage anomaly,2,3,0.559,1,2,2026-08-14,2026-10-03,0,45,75,Power,TRD-Team-03,6,Tower Wagon,10:30:00,13:30:00,,TASK-0049,False,Pending,,,True
TASK-0148,TMS,Engineering,ASSET-SEC-10-0148,Sleepers,COR-04,SEC-10,8.86,9.52,Worn crossing,2,2,0.461,3,3,2026-08-10,2026-10-02,0,180,210,Power and Track,ENG-Team-02,4,Tamping Machine,22:00:00,23:59:00,,TASK-0161|TASK-0186,True,Pending,,,True
TASK-0149,SMMS,Signal & Telecommunication,ASSET-SEC-13-0149,Point Machine,COR-05,SEC-13,18.46,21.23,Point machine response delay,2,2,0.322,4,4,2026-07-23,2026-09-19,0,60,75,Signalling,SNT-Team-01,2,Axle Counter Tester,14:00:00,17:00:00,,TASK-0076,False,Pending,,,True
TASK-0150,TDMS,Traction Distribution,ASSET-SEC-12-0150,Insulator,COR-04,SEC-12,35.87,38.69,Feeder voltage anomaly,4,3,0.685,2,4,2026-07-11,2026-08-12,16,45,90,Power,TRD-Team-02,6,Tower Wagon,14:00:00,17:00:00,,TASK-0037|TASK-0128|TASK-0199,False,Pending,,,True
TASK-0151,TMS,Engineering,ASSET-SEC-05-0151,Ballast,COR-02,SEC-05,21.91,23.73,Damaged sleeper,4,3,0.764,2,4,2026-06-16,2026-08-12,16,60,75,Track Possession,ENG-Team-01,10,Rail Grinder,00:00:00,04:00:00,TASK-0043,TASK-0030|TASK-0188,True,Pending,,,True
TASK-0152,SMMS,Signal & Telecommunication,ASSET-SEC-12-0152,Track Circuit,COR-04,SEC-12,46.91,48.78,Track circuit instability,3,1,0.444,3,2,2026-07-20,2026-08-02,26,60,75,Signalling,SNT-Team-03,2,Track Circuit Meter,10:30:00,13:30:00,,TASK-0078|TASK-0130,False,Pending,,,True
TASK-0153,TDMS,Traction Distribution,ASSET-SEC-01-0153,Contact Wire,COR-01,SEC-01,3.73,4.15,Insulator degradation,5,4,0.722,4,1,2026-06-13,2026-06-30,59,90,105,Power and Track,TRD-Team-01,3,OHE Inspection Vehicle|Tower Wagon,14:00:00,17:00:00,,TASK-0044,False,Pending,,,True
TASK-0154,TMS,Engineering,ASSET-SEC-15-0154,Ballast,COR-05,SEC-15,54.33,55.6,Damaged sleeper,2,1,0.313,2,4,2026-08-10,2026-09-23,0,60,105,Power and Track,ENG-Team-03,10,Inspection Trolley|Tamping Machine,01:00:00,05:00:00,,,False,Pending,,,True
TASK-0155,SMMS,Signal & Telecommunication,ASSET-SEC-02-0155,Axle Counter,COR-01,SEC-02,34.14,34.64,Axle counter mismatch,4,3,0.781,5,5,2026-08-12,2026-09-21,0,60,75,Track Possession,SNT-Team-03,4,Cable Fault Locator,01:00:00,05:00:00,,TASK-0022,False,Pending,,,True
TASK-0156,TDMS,Traction Distribution,ASSET-SEC-12-0156,Contact Wire,COR-04,SEC-12,31.47,34.04,Insulator degradation,5,5,0.927,2,4,2026-07-20,2026-08-05,23,120,150,Power and Track,TRD-Team-03,3,Tower Wagon|OHE Inspection Vehicle,00:00:00,04:00:00,,TASK-0160,False,Pending,,,True
TASK-0157,TMS,Engineering,ASSET-SEC-01-0157,Rail,COR-01,SEC-01,17.27,17.96,Rail surface defect,5,4,0.811,3,2,2026-08-11,2026-09-07,0,90,120,Track Possession,ENG-Team-01,10,Rail Grinder,00:00:00,04:00:00,,,False,Pending,,,True
TASK-0158,SMMS,Signal & Telecommunication,ASSET-SEC-11-0158,Axle Counter,COR-04,SEC-11,25.9,28.25,Axle counter mismatch,4,1,0.54,1,5,2026-07-04,2026-08-20,8,120,165,Signalling,SNT-Team-01,4,Axle Counter Tester,01:00:00,05:00:00,,TASK-0139|TASK-0159,False,Pending,,,True
TASK-0159,TDMS,Traction Distribution,ASSET-SEC-11-0159,Overhead Equipment,COR-04,SEC-11,26.71,28.73,Contact wire wear,3,4,0.702,5,5,2026-06-06,2026-06-13,76,60,75,Power,TRD-Team-02,4,OHE Inspection Vehicle|Insulation Tester,01:00:00,05:00:00,,TASK-0050|TASK-0158,True,Pending,,,True
TASK-0160,TMS,Engineering,ASSET-SEC-12-0160,Points and Crossings,COR-04,SEC-12,33.4,33.63,Track geometry deviation,5,5,0.98,3,4,2026-06-25,2026-07-20,39,120,135,Track Possession,ENG-Team-03,4,Rail Grinder|Ultrasonic Rail Tester,10:30:00,13:30:00,,TASK-0141|TASK-0156,True,Pending,,,True
TASK-0161,SMMS,Signal & Telecommunication,ASSET-SEC-10-0161,Axle Counter,COR-04,SEC-10,8.79,10.38,Axle counter mismatch,1,4,0.535,2,5,2026-06-23,2026-07-19,40,45,75,Signalling,SNT-Team-01,2,Signal Tester,01:00:00,05:00:00,,TASK-0064|TASK-0070|TASK-0148,False,Pending,,,True
TASK-0162,TDMS,Traction Distribution,ASSET-SEC-08-0162,Contact Wire,COR-03,SEC-08,26.92,29.7,Insulator degradation,1,5,0.601,1,5,2026-08-05,2026-10-01,0,120,135,Power,TRD-Team-01,3,Contact Wire Gauge|Insulation Tester,10:30:00,13:30:00,,,True,Pending,,,True
TASK-0163,TMS,Engineering,ASSET-SEC-13-0163,Bridge Component,COR-05,SEC-13,12.12,12.45,Insufficient ballast,4,3,0.733,2,3,2026-07-07,2026-07-14,45,120,150,Power and Track,ENG-Team-02,6,Rail Grinder|Inspection Trolley,00:00:00,04:00:00,,,False,Pending,,,True
TASK-0164,SMMS,Signal & Telecommunication,ASSET-SEC-10-0164,Communication Cable,COR-04,SEC-10,13.61,14.5,Communication link degradation,5,4,0.758,1,4,2026-08-02,2026-09-20,0,90,105,Track Possession,SNT-Team-03,4,Signal Tester|Cable Fault Locator,01:00:00,05:00:00,,TASK-0007|TASK-0055,False,Pending,,,True
TASK-0165,TDMS,Traction Distribution,ASSET-SEC-09-0165,Insulator,COR-03,SEC-09,60.15,60.62,Feeder voltage anomaly,3,1,0.291,1,5,2026-08-20,2026-09-01,0,60,105,Power,TRD-Team-03,8,OHE Inspection Vehicle|Contact Wire Gauge,14:00:00,17:00:00,,TASK-0038,True,Pending,,,True
TASK-0166,TMS,Engineering,ASSET-SEC-10-0166,Sleepers,COR-04,SEC-10,0.87,2.92,Worn crossing,3,3,0.653,1,2,2026-08-11,2026-08-29,0,150,195,Track Possession,ENG-Team-03,4,Tamping Machine|Rail Grinder,10:30:00,13:30:00,,TASK-0032|TASK-0041|TASK-0122,True,Pending,,,True
TASK-0167,SMMS,Signal & Telecommunication,ASSET-SEC-03-0167,Signal,COR-01,SEC-03,44.59,45.67,Intermittent signal failure,3,2,0.473,5,1,2026-08-12,2026-09-18,0,90,120,Signalling,SNT-Team-02,3,Axle Counter Tester,00:00:00,04:00:00,,,True,Pending,,,True
TASK-0168,TDMS,Traction Distribution,ASSET-SEC-04-0168,Feeder,COR-02,SEC-04,15.01,15.52,OHE alignment deviation,3,3,0.645,4,1,2026-08-21,2026-10-06,0,60,75,Power,TRD-Team-01,3,OHE Inspection Vehicle,14:00:00,17:00:00,,,True,Pending,,,True
